country,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017
China,743760883,579931154,170498433,40134754,59649538,47218585,143172950,737755897,1417472433,1397805881,2088883846,1472670864,1645922944,1016455231,3005064379,3811022247,20454473056,19248866761,18598462600,15454933117,16517800743,14731854636
Mexico,1286564639,700095224,1225126882,830555180,1006755845,1052125572,934647829,1111994467,1200410960,1068212922,1553598665,2061590233,3050418622,2046920159,2481159931,3894798567,6753567048,5284521791,5768249939,5133066701,5477476587,5974898951
Japan,2778090961,2165590398,1740197951,1524123382,1560850072,1440177728,1654315393,1699318159,1980906263,1673083059,2065206083,2741469941,4020230664,2903880875,3100869380,4018977461,5387094896,4133137063,4852347944,3947794540,3828148186,4037234354
Indonesia,320096446,228657408,153187290,96776091,195211744,238215328,195056581,253445779,298664299,286501886,393999238,369049759,494288158,274703151,384410120,709493017,1474596192,1557188095,1707606621,1252189006,1655254641,1861244327
Korea,1516883545,674142911,731435839,640773850,303096045,437876164,187736967,151563094,701652906,392153052,829896953,970840950,2328242066,1255501463,1681177572,2315256262,1926668490,1167483868,2212851948,1567902440,1685274533,1746204772
All other,4683211534,3724412871,3086947924,2920573175,3419308685,3623467103,3925113450,4179187357,4585347887,4107656548,4930615564,7300721114,7867116555,5792540716,6778864154,9361675673,15253847158,16265742968,18215098507,14738521226,16504984938,17352658707
