country,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017
Canada,1306478842,1232011897,1223877197,1217762806,1349851573,1196428551,1478476148,1284727673,1705066197,2126426625,2263842485,3403841641,4472592744,2138534805,3631589540,3771075442,3620011015,3219889046,3572071685,2831349465,2319200106,3138236612
Brazil,591982738,675050494,565238025,584856974,752349818,484005517,659533702,460510954,949359212,917960428,823221835,826378488,786541493,280245138,529080630,1951260418,2235078691,1956507259,2450458677,1979494037,1352309487,2082126443
Mexico,579466594,612069325,567732674,544543582,622037334,499071508,739283161,695109738,1526021367,1543906206,1445020772,1655820133,2429677905,906319502,1539680418,1992306123,1781963252,1908598062,2420950071,1714919806,1588627493,2048976111
Korea,327834274,374087772,699425161,513241310,485335540,284761337,337397319,260463188,456251441,577011588,933544935,1035251026,1533260643,753374767,1222799474,2085421432,2565206421,2337383530,3388411212,2582969352,1668879041,2023980187
China,121751663,87818917,127258881,145436780,331122507,135249302,200204122,157609645,532804469,830401775,1303431929,1891541661,3375373499,1318045490,350087820,490897627,550566197,442310853,563520859,458495516,348622960,457631606
All other,4495814455,4654721008,6466189557,4293014332,5527558496,3508215326,3693178222,2768815025,6878503290,6560606857,9815735867,8521882827,10285202439,4409932700,7212976632,9446382752,11259978087,8911420974,12670158316,9830119950,6925441823,9269379395
Total,7423328566,7635759413,9649721495,7298855784,9068255268,6107731541,7108072674,5627236223,12048005976,12556313479,16584797823,17334715776,22882648723,9806452402,14486214514,19737343794,22012803663,18776109724,25065570820,19397348126,14203080910,19020330354
