country,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017
Japan,724597202,639779285,560146751,590408010,663282097,777646346,707609143,684767307,876730773,981547258,902859127,1008705014,1462683300,1486309796,1578951774,1910731251,1937407647,1842522390,1870586783,1508273385,1497748606,1561846488
Mexico,70444179,88598159,107890636,101006172,179791107,194866732,152776305,187818908,375100867,340803093,362367666,308071569,499353386,539433113,652659005,697845008,851711199,950155243,1278077242,1025593115,1142780623,1279138561
China,700837,4508788,7607379,3915566,5061739,15833942,12855039,13576533,34373771,54268708,45281116,136936924,258136703,55272276,130527491,620612426,630076944,622169728,395444459,318248520,574992264,487852349
Korea,22375827,27595192,16722895,33006157,25601163,19224841,27667263,71119162,49651047,146272972,219168149,217166896,264516477,200614416,175748283,483766427,398520750,246987916,412520388,447355390,337932257,440545449
Hong Kong,36753915,48491932,42220054,28739446,30168543,31144323,18895575,23054630,19241162,19940496,36246619,73777225,342769126,284297030,213850367,183377203,171624683,180901150,290712161,269872385,346026147,402594187
All other,135793943,190603747,230904731,164513486,240212244,220334764,214802597,227731870,354928297,558874236,682864233,807776054,1346699644,1022012541,1151570832,1271115121,1387580986,1179234303,1338532879,968305506,1004348038,1183058322
