country,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017
Canada,2841590359,3272872560,3080714056,3264256862,3540228494,3612553815,3483193012,3910723934,4667730931,5580684882,7625069489,7503363237,7444523905,4542489191,5951131882,6576745055,5838699403,6157060368,6480062944,6045807553,5568163783,6836702642
Russia,602433741,687870226,960868504,1123214949,1302231701,677287038,1026437493,1020719460,1720984835,1745067110,1875975275,1432088239,988315327,621491891,515175325,636619962,743289410,534819639,809753451,712745074,1334921749,1542908788
China,9554210,9648580,41960869,23125743,22139610,22658019,40694019,66227778,170627885,469309172,686115890,707833661,588114566,634294915,740292479,331959730,324212352,588870761,781571372,1035349174,971358484,1354604632
United Arab Em,0,0,35742311,25149495,94888369,105281520,95637739,81268861,101883721,165044518,266652476,317325459,241147154,93993973,194867575,662216263,602191714,581483570,620923670,663054634,1029658106,1343702051
Bahrain,20165739,26581941,31981685,80695183,82608809,45880170,63387280,35796372,34542994,85187306,255510617,171354599,90485309,32920466,47476109,63524241,149063690,165495784,246133408,282696209,398076855,585063196
All other,1067841635,1313541488,1543206469,1569181839,1803349542,1704251411,1758113310,1761274860,2474001840,3399484481,3695378658,3269645402,3082667820,2057527682,2653128749,3286937846,3236843837,2952709984,3186227107,3450542768,3359154311,4688336254
